iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
288,87.903236,990.809998,0.922782,0.932031,0.045455,0.0,0.43701,91307.0,0.252095
289,91.35125,1000.0,0.942166,0.953119,0.0,0.0,0.436279,88787.0,0.259246
290,89.661057,999.320007,0.94173,0.950912,0.043478,0.0,0.435977,92631.0,0.256002
291,91.820671,1000.0,0.943207,0.953271,0.0,0.0,0.435392,90987.0,0.257817
292,91.257637,1000.0,0.943006,0.952992,0.0,0.0,0.434768,77212.0,0.258286
293,92.982292,1000.0,0.943876,0.953862,0.0,0.0,0.434008,90414.0,0.259643
294,90.29744,993.590027,0.938917,0.948383,0.041667,0.0,0.433168,88668.0,0.257863
295,93.659454,1000.0,0.943482,0.953377,0.0,0.0,0.432577,87804.0,0.259064
296,91.831566,1000.0,0.943448,0.953206,0.0,0.0,0.431734,93161.0,0.260288
297,91.176048,993.820007,0.94099,0.952185,0.041667,0.0,0.431309,94177.0,0.260536
298,88.854164,1000.0,0.944492,0.952824,0.0,0.0,0.430703,80680.0,0.258828
299,90.3265,1000.0,0.943279,0.953283,0.0,0.0,0.430259,94747.0,0.259378
300,92.621521,1000.0,0.944755,0.954769,0.0,0.0,0.429369,85911.0,0.256981
