iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
270,49.930408,500.0,1.99937,-8.7e-05,0.0,0.0,0.013839,105895.0
271,49.931404,500.0,1.999368,-8.4e-05,0.0,0.0,0.013696,114944.0
272,49.931664,500.0,1.999362,-8.3e-05,0.0,0.0,0.013505,111986.0
273,49.931587,500.0,1.999347,-8.1e-05,0.0,0.0,0.013436,104591.0
274,49.932247,500.0,1.999339,-8.4e-05,0.0,0.0,0.013329,122270.0
275,49.931881,500.0,1.999327,-8.3e-05,0.0,0.0,0.013248,107796.0
276,49.932255,500.0,1.999319,-8.2e-05,0.0,0.0,0.013227,102768.0
277,49.932301,500.0,1.999304,-8.4e-05,0.0,0.0,0.013108,67502.0
278,49.932549,500.0,1.999296,-8.2e-05,0.0,0.0,0.013065,60318.0
279,49.93259,500.0,1.999286,-8.5e-05,0.0,0.0,0.012922,59758.0
280,49.932774,500.0,1.999275,-8.5e-05,0.0,0.0,0.012859,66900.0
281,49.932354,500.0,1.999259,-8.4e-05,0.0,0.0,0.012742,104910.0
282,49.932541,500.0,1.999245,-8.5e-05,0.0,0.0,0.012621,102348.0
283,49.93351,500.0,1.99924,-8.4e-05,0.0,0.0,0.012462,100870.0
284,49.93364,500.0,1.999223,-8.3e-05,0.0,0.0,0.01237,102877.0
285,49.932781,500.0,1.999218,-8.4e-05,0.0,0.0,0.012256,90175.0
286,49.933342,500.0,1.999203,-8.5e-05,0.0,0.0,0.012157,122001.0
287,49.933498,500.0,1.999192,-8.4e-05,0.0,0.0,0.01205,119975.0
288,49.933628,500.0,1.99918,-8.7e-05,0.0,0.0,0.011943,124914.0
289,49.933838,500.0,1.99916,-8.5e-05,0.0,0.0,0.011801,108534.0
290,49.933578,500.0,1.999143,-8.6e-05,0.0,0.0,0.011695,125209.0
291,49.933792,500.0,1.999138,-8.6e-05,0.0,0.0,0.011578,125646.0
292,49.933559,500.0,1.999131,-8.5e-05,0.0,0.0,0.011492,125016.0
293,49.933838,500.0,1.999112,-8.5e-05,0.0,0.0,0.011453,124644.0
294,49.933922,500.0,1.999108,-8.4e-05,0.0,0.0,0.011403,122012.0
295,49.933765,500.0,1.9991,-8.4e-05,0.0,0.0,0.011338,121073.0
296,49.934639,500.0,1.99909,-8.3e-05,0.0,0.0,0.011325,121777.0
297,49.934006,500.0,1.999079,-8.2e-05,0.0,0.0,0.011287,119110.0
298,49.934029,500.0,1.999065,-8.4e-05,0.0,0.0,0.01128,122270.0
299,49.933826,500.0,1.999061,-8.3e-05,0.0,0.0,0.011226,124163.0
300,49.933914,500.0,1.999043,-8.3e-05,0.0,0.0,0.011174,107590.0
301,49.934338,500.0,1.999039,-8.4e-05,0.0,0.0,0.011077,106476.0
302,49.934315,500.0,1.999037,-8.3e-05,0.0,0.0,0.011031,105660.0
303,49.935009,500.0,1.999022,-8.1e-05,0.0,0.0,0.010945,110563.0
304,49.934471,500.0,1.999016,-8e-05,0.0,0.0,0.010894,110231.0
305,49.934692,500.0,1.999003,-8.1e-05,0.0,0.0,0.010813,94854.0
306,49.935013,500.0,1.999002,-8e-05,0.0,0.0,0.010707,107346.0
307,49.934689,500.0,1.999,-8.2e-05,0.0,0.0,0.010658,109398.0
308,49.93502,500.0,1.998989,-8.2e-05,0.0,0.0,0.010566,109218.0
309,49.933994,500.0,1.998978,-8.4e-05,0.0,0.0,0.01053,108400.0
310,49.93417,500.0,1.998966,-8e-05,0.0,0.0,0.010473,85437.0
311,49.934731,500.0,1.99896,-8e-05,0.0,0.0,0.010432,127402.0
312,49.934189,500.0,1.998951,-8.2e-05,0.0,0.0,0.010359,126558.0
313,49.934883,500.0,1.998954,-7.9e-05,0.0,0.0,0.010315,123066.0
314,49.93507,500.0,1.998935,-8e-05,0.0,0.0,0.010266,124747.0
315,49.934727,500.0,1.998936,-7.9e-05,0.0,0.0,0.010277,123675.0
316,49.934399,500.0,1.998919,-8e-05,0.0,0.0,0.01025,123509.0
317,49.934563,500.0,1.998921,-8e-05,0.0,0.0,0.010242,124303.0
318,49.934208,500.0,1.998896,-7.9e-05,0.0,0.0,0.010225,126077.0
319,49.93462,500.0,1.998901,-7.8e-05,0.0,0.0,0.01022,125393.0
320,49.934772,500.0,1.998897,-7.7e-05,0.0,0.0,0.010156,105520.0
321,49.934391,500.0,1.998874,-7.8e-05,0.0,0.0,0.010105,114571.0
322,49.934361,500.0,1.998877,-7.8e-05,0.0,0.0,0.01009,121241.0
323,49.933701,500.0,1.998857,-7.8e-05,0.0,0.0,0.01005,125754.0
324,49.933933,500.0,1.998854,-7.8e-05,0.0,0.0,0.010022,118382.0
325,49.934277,500.0,1.998819,-8.2e-05,0.0,0.0,0.009982,105776.0
326,49.934067,500.0,1.998828,-7.9e-05,0.0,0.0,0.009926,77079.0
327,49.935047,500.0,1.998826,-7.5e-05,0.0,0.0,0.009862,60719.0
328,49.93409,500.0,1.998814,-7.7e-05,0.0,0.0,0.009798,58630.0
329,49.934338,500.0,1.998803,-8e-05,0.0,0.0,0.009804,63617.0
330,49.934422,500.0,1.998796,-7.9e-05,0.0,0.0,0.00973,106471.0
331,49.934349,500.0,1.998789,-7.9e-05,0.0,0.0,0.009712,104308.0
332,49.933704,500.0,1.998765,-8.1e-05,0.0,0.0,0.009664,89274.0
333,49.93351,500.0,1.998768,-7.9e-05,0.0,0.0,0.009624,105235.0
334,49.934433,500.0,1.998755,-7.7e-05,0.0,0.0,0.009617,104609.0
335,49.934475,500.0,1.998726,-8e-05,0.0,0.0,0.009617,87185.0
